Title	Link	Date	FR_Cit	n_pg	n_hit	n_lives*	n_sheep	n_cattle	n_trampl*	n_graz*	n_sediment*	n_water_qual	Species	Orig_URL	Doc_Type
ETWP; Endangered Status for the Lower Keys Rabbit and Threatened Status for the Squirrel Chimney Cave Shrimp;  55 FR 25588 25591	<a href='https://defend-esc-dev.org/ESAdocs/federal_register/fr1715.pdf' target='_blank'>Link</a>	6/21/90	55 FR 25588 25591	4	3	0	0	0	0	3	0	0	Palaemonetes cummingi; Sylvilagus palustris hefneri	<a href='http://ecos.fws.gov/docs/federal_register/fr1715.pdf' target='_blank'>FWS Link</a>	NA
"ETWP; Designation of the Freshwater Mussel, the Fanshell as an Endangered Species; 55 FR 25591 25595"	<a href='https://defend-esc-dev.org/ESAdocs/federal_register/fr1716.pdf' target='_blank'>Link</a>	6/21/90	55 FR 25591 25595	6	4	0	0	0	0	4	0	0	Cyprogenia stegaria	<a href='http://ecos.fws.gov/docs/federal_register/fr1716.pdf' target='_blank'>FWS Link</a>	NA
ETWP; Determination of Endangered Status for Mimulus glabratus var. michiganensis (Michigan monkey-flower);  55 FR 25596 25599	<a href='https://defend-esc-dev.org/ESAdocs/federal_register/fr1717.pdf' target='_blank'>Link</a>	6/21/90	55 FR 25596 25599	4	3	0	0	0	0	3	0	0	Mimulus michiganensis	<a href='http://ecos.fws.gov/docs/federal_register/fr1717.pdf' target='_blank'>FWS Link</a>	NA
ETWP; Determination of Threatened Status for the Northern Spotted Owl; 55 FR 26114 26194	<a href='https://defend-esc-dev.org/ESAdocs/federal_register/fr1718.pdf' target='_blank'>Link</a>	6/26/90	55 FR 26114 26194	82	54	1	0	0	0	53	0	0	Strix occidentalis caurina	<a href='http://ecos.fws.gov/docs/federal_register/fr1718.pdf' target='_blank'>FWS Link</a>	NA
ETWP; Purple Cat's Paw Pearly mussel Determined to be an Endangered Species; 55 FR 28209 28213	<a href='https://defend-esc-dev.org/ESAdocs/federal_register/fr1722.pdf' target='_blank'>Link</a>	7/10/90	55 FR 28209 28213	5	6	0	0	0	0	4	0	2	Epioblasma obliquata obliquata	<a href='http://ecos.fws.gov/docs/federal_register/fr1722.pdf' target='_blank'>FWS Link</a>	NA
ETWP; Determination of Endangered or Threatened Status for 5 Plants from the Southern San Joaquin Valley;  55 FR 29361 29370	<a href='https://defend-esc-dev.org/ESAdocs/federal_register/fr1729.pdf' target='_blank'>Link</a>	7/19/90	55 FR 29361 29370	10	20	6	1	0	3	10	0	0	Caulanthus californicus; Eremalche kernensis; Monolopia (=Lembertia) congdonii; Opuntia treleasei	<a href='http://ecos.fws.gov/docs/federal_register/fr1729.pdf' target='_blank'>FWS Link</a>	NA
Listing of the Steller Sea Lions as Threatened Under the Endangered Species Act;  55 FR 29792 29835	<a href='https://defend-esc-dev.org/ESAdocs/federal_register/fr1730.pdf' target='_blank'>Link</a>	7/20/90	55 FR 29792 29835	34	9	0	0	0	0	9	0	0	Eumetopias jubatus	<a href='http://ecos.fws.gov/docs/federal_register/fr1730.pdf' target='_blank'>FWS Link</a>	NA
ETWP; Determination of Threatened Status for the Puritan Tiger Beetle and the Northeastern Beach Tiger Beetle; 55 FR 32088 32094	<a href='https://defend-esc-dev.org/ESAdocs/federal_register/fr1738.pdf' target='_blank'>Link</a>	8/7/90	55 FR 32088 32094	7	6	0	0	0	0	6	0	0	Cicindela dorsalis dorsalis; Cicindela puritana	<a href='http://ecos.fws.gov/docs/federal_register/fr1738.pdf' target='_blank'>FWS Link</a>	NA
ETWP; Finding on Petition to Reclassify the Grizzly Bear in the North Cascades Area as Endangered; 55 FR 32103 32104	<a href='https://defend-esc-dev.org/ESAdocs/federal_register/fr1739.pdf' target='_blank'>Link</a>	8/7/90	55 FR 32103 32104	2	2	1	0	0	0	1	0	0	Ursus arctos horribilis	<a href='http://ecos.fws.gov/docs/federal_register/fr1739.pdf' target='_blank'>FWS Link</a>	NA
"ETWP; Determination of Threatened Status for the Plant, Harrisia portoricensis (higo Chumbo); 55 FR 32252 32255"	<a href='https://defend-esc-dev.org/ESAdocs/federal_register/fr1741.pdf' target='_blank'>Link</a>	8/8/90	55 FR 32252 32255	4	1	0	0	0	0	1	0	0	Harrisia portoricensis	<a href='http://ecos.fws.gov/docs/federal_register/fr1741.pdf' target='_blank'>FWS Link</a>	NA
"ETWP; Determination of Endangered Status for the Plant, Aristida portoricensis (pelos del diablo); 55 FR 32255 32257"	<a href='https://defend-esc-dev.org/ESAdocs/federal_register/fr1742.pdf' target='_blank'>Link</a>	8/8/90	55 FR 32255 32257	3	4	0	0	1	0	3	0	0	Aristida portoricensis	<a href='http://ecos.fws.gov/docs/federal_register/fr1742.pdf' target='_blank'>FWS Link</a>	NA
ETWP; Determination of Endangered Status for the Pallid Sturgeon; 55 FR 36641 36647	<a href='https://defend-esc-dev.org/ESAdocs/federal_register/fr1748.pdf' target='_blank'>Link</a>	9/6/90	55 FR 36641 36647	7	5	0	0	0	0	4	0	1	Scaphirhynchus albus	<a href='http://ecos.fws.gov/docs/federal_register/fr1748.pdf' target='_blank'>FWS Link</a>	NA
ETWP; 90-Day Findings on a Petition to List the Jemez Mountains Salamander as Threatened or Endangered; 55 FR 38342 38343	<a href='https://defend-esc-dev.org/ESAdocs/federal_register/fr1758.pdf' target='_blank'>Link</a>	9/18/90	55 FR 38342 38343	2	0	0	0	0	0	0	0	0	Plethodon neomexicanus	<a href='http://ecos.fws.gov/docs/federal_register/fr1758.pdf' target='_blank'>FWS Link</a>	NA
ETWP; Endangered Status for the Plant Lepidium barnebyanum (Barneby Ridge- cress); 55 FR 39860 39864	<a href='https://defend-esc-dev.org/ESAdocs/federal_register/fr1765.pdf' target='_blank'>Link</a>	9/28/90	55 FR 39860 39864	5	0	0	0	0	0	0	0	0	Lepidium barnebyanum	<a href='http://ecos.fws.gov/docs/federal_register/fr1765.pdf' target='_blank'>FWS Link</a>	NA
ETWP; Threatened Status for Lesquerella lyrate (Lyrate bladder-pod); 55 FR 39864 39868	<a href='https://defend-esc-dev.org/ESAdocs/federal_register/fr1766.pdf' target='_blank'>Link</a>	9/28/90	55 FR 39864 39868	5	3	0	0	0	0	3	0	0	Lesquerella lyrata	<a href='http://ecos.fws.gov/docs/federal_register/fr1766.pdf' target='_blank'>FWS Link</a>	NA
ETWP; Determination of Threatened Status for the Potamilus inflatus (Inflated Heelsplitter); 55 FR 39868 39872	<a href='https://defend-esc-dev.org/ESAdocs/federal_register/fr1767.pdf' target='_blank'>Link</a>	9/28/90	55 FR 39868 39872	5	6	0	0	0	0	4	2	0	Potamilus inflatus	<a href='http://ecos.fws.gov/docs/federal_register/fr1767.pdf' target='_blank'>FWS Link</a>	NA
ETWP; To Determine the Uncompahgre Fritillary Butterfly To Be an Endangered Species; 55 FR 41721 41725	<a href='https://defend-esc-dev.org/ESAdocs/federal_register/fr1776.pdf' target='_blank'>Link</a>	10/15/90	55 FR 41721 41725	5	12	3	2	0	3	4	0	0	Boloria acrocnema	<a href='http://ecos.fws.gov/docs/federal_register/fr1776.pdf' target='_blank'>FWS Link</a>	NA
Final Determination of Threatened Status for the Leopard Darter	<a href='https://defend-esc-dev.org/ESAdocs/federal_register/fr178.pdf' target='_blank'>Link</a>	1/27/78	43 FR 3711 3716	6	5	0	0	0	0	3	1	1	Percina pantherina	<a href='http://ecos.fws.gov/docs/federal_register/fr178.pdf' target='_blank'>FWS Link</a>	NA
ETWP; Endangered Status Determined for the Fish Notropis cahabae (Cahaba Shiner); 55 FR 42961 42966	<a href='https://defend-esc-dev.org/ESAdocs/federal_register/fr1780.pdf' target='_blank'>Link</a>	10/25/90	55 FR 42961 42966	6	8	0	0	0	0	4	0	4	Notropis cahabae	<a href='http://ecos.fws.gov/docs/federal_register/fr1780.pdf' target='_blank'>FWS Link</a>	NA
ETWP; 90-Day Findings and Commencement of Status Reviews for Five Petitions to List Six Species as Threatened or Endangered; 55 FR 46080 46082	<a href='https://defend-esc-dev.org/ESAdocs/federal_register/fr1785.pdf' target='_blank'>Link</a>	11/1/90	55 FR 46080 46082	3	3	1	0	1	0	1	0	0	Chorizanthe robusta var. hartwegii; Speyeria zerene behrensii; Speyeria zerene myrtleae	<a href='http://ecos.fws.gov/docs/federal_register/fr1785.pdf' target='_blank'>FWS Link</a>	NA
"ETWP; The Plant ""Spigelia gentianoides"" (Gentian Pinkroot) Determined To Be Endangered; 55 FR 49046 49050"	<a href='https://defend-esc-dev.org/ESAdocs/federal_register/fr1790.pdf' target='_blank'>Link</a>	11/26/90	55 FR 49046 49050	5	4	0	0	0	0	4	0	0	Spigelia gentianoides	<a href='http://ecos.fws.gov/docs/federal_register/fr1790.pdf' target='_blank'>FWS Link</a>	NA
Listing of Steller Sea Lions as Threatened Under the Endangered Species Act; Final Rule; 55 FR 49203 49241	<a href='https://defend-esc-dev.org/ESAdocs/federal_register/fr1791.pdf' target='_blank'>Link</a>	11/26/90	55 FR 49203 49241	38	10	0	0	0	0	10	0	0	Eumetopias jubatus	<a href='http://ecos.fws.gov/docs/federal_register/fr1791.pdf' target='_blank'>FWS Link</a>	NA
ETWP; Listing of the Sacramento River Winter-run Chinook Salmon as Threatened; 55 FR 49623	<a href='https://defend-esc-dev.org/ESAdocs/federal_register/fr1792.pdf' target='_blank'>Link</a>	11/30/90	55 FR 49623	1	0	0	0	0	0	0	0	0	Oncorhynchus (=Salmo) tshawytscha	<a href='http://ecos.fws.gov/docs/federal_register/fr1792.pdf' target='_blank'>FWS Link</a>	NA
ETWP; Listing of the Steller Sea Lion as a Threatened Species; 55 FR 50005 50006	<a href='https://defend-esc-dev.org/ESAdocs/federal_register/fr1794.pdf' target='_blank'>Link</a>	12/4/90	55 FR 50005 50006	2	0	0	0	0	0	0	0	0	Eumetopias jubatus	<a href='http://ecos.fws.gov/docs/federal_register/fr1794.pdf' target='_blank'>FWS Link</a>	NA
ETWP; Determination of Endangered Status for the Plant Astragalus cremnophylax var. cremnophylax (sentry milk-vetch); 55 FR 50184 50187	<a href='https://defend-esc-dev.org/ESAdocs/federal_register/fr1795.pdf' target='_blank'>Link</a>	12/5/90	55 FR 50184 50187	4	8	0	0	0	4	4	0	0	Astragalus cremnophylax var. cremnophylax	<a href='http://ecos.fws.gov/docs/federal_register/fr1795.pdf' target='_blank'>FWS Link</a>	NA
Endangered Species List - 1967	<a href='https://defend-esc-dev.org/ESAdocs/federal_register/fr18.pdf' target='_blank'>Link</a>	3/11/67	32 FR 4001	1	0	0	0	0	0	0	0	0	Acipenser brevirostrum; Acrocephalus familiaris kingi; Akialoa stejnegeri; Amazona vittata; Ambystoma macrodactylum croceum; Ammodramus maritimus mirabilis; Anas laysanensis; Anas wyvilliana; Antilocapra americana sonoriensis; Arctocephalus townsendi; Branta (=Nesochen) sandvicensis; Buteo solitarius; Campephilus principalis; Canis lupus; Canis rufus; Chasmistes cujus; Colinus virginianus ridgwayi; Corvus hawaiiensis; Cyprinodon diabolis; Cyprinodon elegans; Cyprinodon radiosus; Empetrichthys latos; Eremichthys acros; Etheostoma sellare; Gallinula chloropus sandvicensis; Gambelia silus; Gambusia gaigei; Gambusia heterochir; Gila cypha; Grus americana; Gymnogyps californianus; Hemignathus hanapepe; Hemignathus wilsoni; Lepidomeda vittata; Loxioides bailleui; Moapa coriacea; Moho braccatus; Mustela nigripes; Myadestes palmeri; Myotis sodalis; Numenius borealis; Odocoileus virginianus clavium; Odocoileus virginianus leucurus; Oncorhynchus apache; Oncorhynchus clarkii seleniris; Oncorhynchus clarki stomias; Oncorhynchus gilae; Palmeria dolei; Poeciliopsis occidentalis; Pseudonestor xanthophrys; Psittirostra psittacea; Pterodroma sandwichensis; Ptychocheilus lucius; Puma (=Felis) concolor coryi; Rallus longirostris yumanensis; Rostrhamus sociabilis plumbeus; Setophaga kirtlandii (= Dendroica kirtlandii); Telespyza cantans; Telespyza ultima; Thamnophis sirtalis tetrataenia; Trichechus manatus; Tympanuchus cupido attwateri; Typhlomolge rathbuni; Ursus arctos horribilis; Vermivora bachmanii; Vulpes macrotis mutica	<a href='http://ecos.fws.gov/docs/federal_register/fr18.pdf' target='_blank'>FWS Link</a>	NA
Final Determination of Threatened Status for the Eastern Indigo Snake	<a href='https://defend-esc-dev.org/ESAdocs/federal_register/fr180.pdf' target='_blank'>Link</a>	1/31/78	43 FR 4026 4029	4	2	0	0	0	0	2	0	0	Drymarchon corais couperi	<a href='http://ecos.fws.gov/docs/federal_register/fr180.pdf' target='_blank'>FWS Link</a>	NA
ETWP; Notice of 90-Day Findings on Petitions to List the Delta Smelt and Delhi Sands Flower-Loving Fly as Endangered; 55 FR 52852 52853	<a href='https://defend-esc-dev.org/ESAdocs/federal_register/fr1802.pdf' target='_blank'>Link</a>	12/24/90	55 FR 52852 52853	2	1	0	0	0	0	1	0	0	Hypomesus transpacificus; Rhaphiomidas terminatus abdominalis	<a href='http://ecos.fws.gov/docs/federal_register/fr1802.pdf' target='_blank'>FWS Link</a>	NA
ETWP; FInal Rule to List the Golden-cheeked Warbler as Endangered; 55 FR 53153 53160	<a href='https://defend-esc-dev.org/ESAdocs/federal_register/fr1804.pdf' target='_blank'>Link</a>	12/27/90	55 FR 53153 53160	8	6	1	0	0	0	5	0	0	Dendroica chrysoparia	<a href='http://ecos.fws.gov/docs/federal_register/fr1804.pdf' target='_blank'>FWS Link</a>	NA
ETWP; Tulotoma Listed as Endangered; 56 FR 797 800	<a href='https://defend-esc-dev.org/ESAdocs/federal_register/fr1806.pdf' target='_blank'>Link</a>	1/9/91	56 FR 797 800	4	0	0	0	0	0	0	0	0	Tulotoma magnifica	<a href='http://ecos.fws.gov/docs/federal_register/fr1806.pdf' target='_blank'>FWS Link</a>	NA
"ETWP; Isodendrion hosakae (Aupaka), a Hawaiian Plant, Listed as Endangered; 56 FR 1454 1457"	<a href='https://defend-esc-dev.org/ESAdocs/federal_register/fr1810.pdf' target='_blank'>Link</a>	1/14/91	56 FR 1454 1457	4	0	0	0	0	0	0	0	0	Isodendrion hosakae	<a href='http://ecos.fws.gov/docs/federal_register/fr1810.pdf' target='_blank'>FWS Link</a>	NA
ETWP; Microtus pennsylvanicus dukecampbelli (Florida Salt Marsh Vole) Listed as Endangered; 56 FR 1457 1459	<a href='https://defend-esc-dev.org/ESAdocs/federal_register/fr1811.pdf' target='_blank'>Link</a>	1/14/91	56 FR 1457 1459	3	0	0	0	0	0	0	0	0	Microtus pennsylvanicus dukecampbelli	<a href='http://ecos.fws.gov/docs/federal_register/fr1811.pdf' target='_blank'>FWS Link</a>	NA
ETWP; Graptemys flavimaculata (Yellow-Blotched Map Turtle) Listed as Threatened; 56 FR 1459 1463	<a href='https://defend-esc-dev.org/ESAdocs/federal_register/fr1812.pdf' target='_blank'>Link</a>	1/14/91	56 FR 1459 1463	5	0	0	0	0	0	0	0	0	Graptemys flavimaculata	<a href='http://ecos.fws.gov/docs/federal_register/fr1812.pdf' target='_blank'>FWS Link</a>	NA
ETWP; Silene polypetala (Fringed Campion) Listed as Endangered; 56 FR 1932 1936	<a href='https://defend-esc-dev.org/ESAdocs/federal_register/fr1814.pdf' target='_blank'>Link</a>	1/18/91	56 FR 1932 1936	5	0	0	0	0	0	0	0	0	Silene polypetala	<a href='http://ecos.fws.gov/docs/federal_register/fr1814.pdf' target='_blank'>FWS Link</a>	NA
ETWP; Corvus leucognaphalus (White-Necked Crow) as Endangered; 56 FR 13598 13600	<a href='https://defend-esc-dev.org/ESAdocs/federal_register/fr1833.pdf' target='_blank'>Link</a>	4/3/91	56 FR 13598 13600	3	0	0	0	0	0	0	0	0	Corvus leucognaphalus	<a href='http://ecos.fws.gov/docs/federal_register/fr1833.pdf' target='_blank'>FWS Link</a>	NA
Determination of Threatened Status for the plant Schoepfia arenaria	<a href='https://defend-esc-dev.org/ESAdocs/federal_register/fr1839.pdf' target='_blank'>Link</a>	4/19/91	56 FR 16021 16024	4	0	0	0	0	0	0	0	0	Schoepfia arenaria	<a href='http://ecos.fws.gov/docs/federal_register/fr1839.pdf' target='_blank'>FWS Link</a>	NA
ETWP; Dalea foliosa (Leafy Prairie-Clover) Determined to be Endangered; 56 FR 19953 19959	<a href='https://defend-esc-dev.org/ESAdocs/federal_register/fr1847.pdf' target='_blank'>Link</a>	5/1/91	56 FR 19953 19959	7	0	0	0	0	0	0	0	0	Dalea foliosa	<a href='http://ecos.fws.gov/docs/federal_register/fr1847.pdf' target='_blank'>FWS Link</a>	NA
ETWP; Determination of Endangered Status for the Cumberland Pigtoe Mussel; 56 FR 21084 21087	<a href='https://defend-esc-dev.org/ESAdocs/federal_register/fr1851.pdf' target='_blank'>Link</a>	5/7/91	56 FR 21084 21087	5	0	0	0	0	0	0	0	0	Pleurobema gibberum	<a href='http://ecos.fws.gov/docs/federal_register/fr1851.pdf' target='_blank'>FWS Link</a>	NA
ETWP; Determination of Endangered Status for Scirpus ancistrochaetus (Northern bulrush); 56 FR 21091 21096	<a href='https://defend-esc-dev.org/ESAdocs/federal_register/fr1853.pdf' target='_blank'>Link</a>	5/7/91	56 FR 21091 21096	6	0	0	0	0	0	0	0	0	Scirpus ancistrochaetus	<a href='http://ecos.fws.gov/docs/federal_register/fr1853.pdf' target='_blank'>FWS Link</a>	NA
ETWP; Determination of Endangered Status for the Winged Mapleleaf Freshwater Mussel; 56 FR 28345 28349	<a href='https://defend-esc-dev.org/ESAdocs/federal_register/fr1873.pdf' target='_blank'>Link</a>	6/20/91	56 FR 28345 28349	5	0	0	0	0	0	0	0	0	Quadrula fragosa	<a href='http://ecos.fws.gov/docs/federal_register/fr1873.pdf' target='_blank'>FWS Link</a>	NA
ETWP; Uncompahgne fritillary butterfly Determined to be Endangered; 56 FR 28712 28717	<a href='https://defend-esc-dev.org/ESAdocs/federal_register/fr1876.pdf' target='_blank'>Link</a>	6/24/91	56 FR 28712 28717	7	0	0	0	0	0	0	0	0	Boloria acrocnema	<a href='http://ecos.fws.gov/docs/federal_register/fr1876.pdf' target='_blank'>FWS Link</a>	NA
Emergency Rule to List the Mitchell's Satyr as Endangered	<a href='https://defend-esc-dev.org/ESAdocs/federal_register/fr1878.pdf' target='_blank'>Link</a>	6/25/91	56 FR 28825 28828	4	3	0	0	0	0	3	0	0	Neonympha mitchellii mitchellii	<a href='http://ecos.fws.gov/docs/federal_register/fr1878.pdf' target='_blank'>FWS Link</a>	NA
"ETWP; Determination of the Plant Rhynchospora knieskernii (Knieskern's Beaked-rush), to be a Threatened Species; 56 FR 32978 32983"	<a href='https://defend-esc-dev.org/ESAdocs/federal_register/fr1886.pdf' target='_blank'>Link</a>	7/18/91	56 FR 32978 32983	6	0	0	0	0	0	0	0	0	Rhynchospora knieskernii	<a href='http://ecos.fws.gov/docs/federal_register/fr1886.pdf' target='_blank'>FWS Link</a>	NA
ETWP; Endangered Status for the Plant Xyris Tennesseensis (Tennessee Yellow-Eyed Grass)	<a href='https://defend-esc-dev.org/ESAdocs/federal_register/fr1892.pdf' target='_blank'>Link</a>	7/26/91	56 FR 34151 34154	4	0	0	0	0	0	0	0	0	Xyris tennesseensis	<a href='http://ecos.fws.gov/docs/federal_register/fr1892.pdf' target='_blank'>FWS Link</a>	NA
ETWP; 90-Day Findings and Commencement of Status Reviews for Three Petitions to List Seven Species as Threatened of Endangered; 56 FR 42968 42970	<a href='https://defend-esc-dev.org/ESAdocs/federal_register/fr1909.pdf' target='_blank'>Link</a>	8/30/91	56 FR 42968 42970	3	2	0	0	0	1	1	0	0	Baccharis vanessae; Branchinecta conservatio; Branchinecta longiantenna; Branchinecta lynchi	<a href='http://ecos.fws.gov/docs/federal_register/fr1909.pdf' target='_blank'>FWS Link</a>	NA
"ETWP; Determination of Endangered Status for Cyanea superba, an Hawaiian Plant; 56 FR 46235 46239"	<a href='https://defend-esc-dev.org/ESAdocs/federal_register/fr1914.pdf' target='_blank'>Link</a>	9/11/91	56 FR 46235 46239	5	6	0	0	2	0	4	0	0	Cyanea superba	<a href='http://ecos.fws.gov/docs/federal_register/fr1914.pdf' target='_blank'>FWS Link</a>	NA
"ETWP; Determination of Endangered Status for Six Plants from the Island of Lanai, Hawaii; 56 FR 47686 47695"	<a href='https://defend-esc-dev.org/ESAdocs/federal_register/fr1921.pdf' target='_blank'>Link</a>	9/20/91	56 FR 47686 47695	10	18	0	3	4	2	9	0	0	Abutilon eremitopetalum; Cyanea macrostegia ssp. gibsonii; Phyllostegia glabra var. lanaiensis; Tetramolopium remyi; Viola lanaiensis	<a href='http://ecos.fws.gov/docs/federal_register/fr1921.pdf' target='_blank'>FWS Link</a>	NA
ETWP; Determination of Endangered Status for Five Plants from the Wahiawa Drainage Basin; 56 FR 47695 47700	<a href='https://defend-esc-dev.org/ESAdocs/federal_register/fr1922.pdf' target='_blank'>Link</a>	9/20/91	56 FR 47695 47700	6	7	0	0	1	1	4	0	1	Cyanea undulata; Dubautia pauciflorula; Hesperomannia lydgatei; Labordia lydgatei; Viola helenae	<a href='http://ecos.fws.gov/docs/federal_register/fr1922.pdf' target='_blank'>FWS Link</a>	NA
ETWP; Astragalus bibullatus (Guthrie's Ground-plum) Determined to Be Endangered; 56 FR 48748 48751	<a href='https://defend-esc-dev.org/ESAdocs/federal_register/fr1927.pdf' target='_blank'>Link</a>	9/26/91	56 FR 48748 48751	5	5	2	0	0	0	3	0	0	Astragalus bibullatus	<a href='http://ecos.fws.gov/docs/federal_register/fr1927.pdf' target='_blank'>FWS Link</a>	NA
"ETWP; Determination of Endangered Status for the Plant Sisyrinchium dichotomum, White Irisette; 56 FR 48752 48755"	<a href='https://defend-esc-dev.org/ESAdocs/federal_register/fr1928.pdf' target='_blank'>Link</a>	9/26/91	56 FR 48752 48755	5	8	0	0	0	3	5	0	0	Sisyrinchium dichotomum	<a href='http://ecos.fws.gov/docs/federal_register/fr1928.pdf' target='_blank'>FWS Link</a>	NA
Final Determination of Endangered Status for the Socorro Isopod	<a href='https://defend-esc-dev.org/ESAdocs/federal_register/fr193.pdf' target='_blank'>Link</a>	3/27/78	43 FR 12690 12691	2	2	0	0	0	0	2	0	0	Thermosphaeroma thermophilus	<a href='http://ecos.fws.gov/docs/federal_register/fr193.pdf' target='_blank'>FWS Link</a>	NA
ETWP; Final Rule to List the Plant Cryptantha crassipes (Terlingua Creek Cat's-eye) as Endangered; 56 FR 49634 49636	<a href='https://defend-esc-dev.org/ESAdocs/federal_register/fr1930.pdf' target='_blank'>Link</a>	9/30/91	56 FR 49634 49636	2	2	0	0	1	0	1	0	0	Cryptantha crassipes	<a href='http://ecos.fws.gov/docs/federal_register/fr1930.pdf' target='_blank'>FWS Link</a>	NA
ETWP; Final Rule to List the Plant Phlox nivalis ssp. texensis (Texas Trailing Phlox) as Endangered; 56 FR 49636 49639	<a href='https://defend-esc-dev.org/ESAdocs/federal_register/fr1931.pdf' target='_blank'>Link</a>	9/30/91	56 FR 49636 49639	4	3	0	0	0	0	3	0	0	Phlox nivalis ssp. texensis	<a href='http://ecos.fws.gov/docs/federal_register/fr1931.pdf' target='_blank'>FWS Link</a>	NA
ETWP; Determination of Endangered Status for Two Na Pali Coast Plants: Hedyotis st.-johnil (Na Pali Beach Hedyotis) and Schiedea apokremnos (Ma'oli'oli); 56 FR 49639 49644	<a href='https://defend-esc-dev.org/ESAdocs/federal_register/fr1932.pdf' target='_blank'>Link</a>	9/30/91	56 FR 49639 49644	6	7	0	0	1	1	5	0	0	Kadua st.-johnii; Schiedea apokremnos	<a href='http://ecos.fws.gov/docs/federal_register/fr1932.pdf' target='_blank'>FWS Link</a>	NA
ETWP; Final Rule to List the Alamosa Springsnail and the Socorro Springsnail as Endangered; 56 FR 49646 49649	<a href='https://defend-esc-dev.org/ESAdocs/federal_register/fr1933.pdf' target='_blank'>Link</a>	9/30/91	56 FR 49646 49649	4	3	0	0	1	0	2	0	0	Pyrgulopsis neomexicana; Tryonia alamosae	<a href='http://ecos.fws.gov/docs/federal_register/fr1933.pdf' target='_blank'>FWS Link</a>	NA
ETWP; Threatened Status for the Gulf Sturgeon; 56 FR 49653 49658	<a href='https://defend-esc-dev.org/ESAdocs/federal_register/fr1935.pdf' target='_blank'>Link</a>	9/30/91	56 FR 49653 49658	6	7	0	0	0	0	4	1	2	Acipenser oxyrinchus (=oxyrhynchus) desotoi	<a href='http://ecos.fws.gov/docs/federal_register/fr1935.pdf' target='_blank'>FWS Link</a>	NA
ETWP; Final Rule to List the Plant Manihot walkerae as Endangered; 56 FR 49850 49854	<a href='https://defend-esc-dev.org/ESAdocs/federal_register/fr1937.pdf' target='_blank'>Link</a>	10/2/91	56 FR 49850 49854	4	8	1	0	2	1	4	0	0	Manihot walkerae	<a href='http://ecos.fws.gov/docs/federal_register/fr1937.pdf' target='_blank'>FWS Link</a>	NA
"ETWP; Final Rule to List the Ouachita Rock-Pocketbook, Mussel, as an Endangered Species; 56 FR 54950 54957"	<a href='https://defend-esc-dev.org/ESAdocs/federal_register/fr1947.pdf' target='_blank'>Link</a>	10/23/91	56 FR 54950 54957	8	10	0	0	0	0	7	0	3	Arkansia wheeleri	<a href='http://ecos.fws.gov/docs/federal_register/fr1947.pdf' target='_blank'>FWS Link</a>	NA
"ETWP; The Razorback Sucker, Xyrauchen texanus, Determined to Be an Endangered Species; 56 FR 54957 54967"	<a href='https://defend-esc-dev.org/ESAdocs/federal_register/fr1948.pdf' target='_blank'>Link</a>	10/23/91	56 FR 54957 54967	11	13	0	0	0	0	9	0	4	Xyrauchen texanus	<a href='http://ecos.fws.gov/docs/federal_register/fr1948.pdf' target='_blank'>FWS Link</a>	NA
"ETWP; Determination of Endangered Status for 26 Plants from the Waianae Mountains, Island of Oahu, Hawaii; 56 FR 55770 55786"	<a href='https://defend-esc-dev.org/ESAdocs/federal_register/fr1952.pdf' target='_blank'>Link</a>	10/29/91	56 FR 55770 55786	17	32	0	0	7	12	13	0	0	Abutilon sandwicense; Asplenium dielfalcatum; Centaurium sebaeoides; Cyanea pinnatifida; Dubautia herbstobatae; Euphorbia celastroides var. kaenana; Euphorbia kuwaleana; Gouania meyenii; Hesperomannia arbuscula; Kadua degeneri; Kadua parvula; Lipochaeta lobata var. leptophylla; Lobelia niihauensis; Melanthera tenuifolia; Neraudia angulata; Nototrichium humile; Phyllostegia mollis; Sanicula mariversa; Schiedea kaalae; Schiedea obovata; Schiedea trinervis; Silene perlmanii; Tetramolopium filiforme; Tetramolopium lepidotum ssp. lepidotum; Urera kaalae; Viola chamissoniana ssp. chamissoniana	<a href='http://ecos.fws.gov/docs/federal_register/fr1952.pdf' target='_blank'>FWS Link</a>	NA
ETWP; Final Rule to List Potamogeton clystocarpus (Little Aguja Pondweed) as Endangered; 56 FR 57844 57849	<a href='https://defend-esc-dev.org/ESAdocs/federal_register/fr1963.pdf' target='_blank'>Link</a>	11/14/91	56 FR 57844 57849	6	6	1	0	0	0	3	0	2	Potamogeton clystocarpus	<a href='http://ecos.fws.gov/docs/federal_register/fr1963.pdf' target='_blank'>FWS Link</a>	NA
ETWP; Listing of Steller Sea Lions as Threatened under the Endangered Species Act; 56 FR 58184	<a href='https://defend-esc-dev.org/ESAdocs/federal_register/fr1966.pdf' target='_blank'>Link</a>	11/18/91	56 FR 58184	1	1	0	0	0	0	1	0	0	Eumetopias jubatus	<a href='http://ecos.fws.gov/docs/federal_register/fr1966.pdf' target='_blank'>FWS Link</a>	NA
